solver, length, nbInv, SATClauses, SATVars, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverFailures, SolverMemOut, SolverNodes, SolverSatisfiable, SolverTimeOut, SolverTotalTime, TotalTime
kissat, 003, -017, 133, 0, 0, 0, 0.258, NA, 0, 0, 0, 0, 0.00, 0.258
or-tools, 003, -017, NA, NA, 0, 0, 0.098, 0, NA, NA, 0, 0, 0.018, 0.116
chuffed, 003, -018, NA, NA, 0, 0, 0.25, 0, NA, 0, 0, 0, 0.005, 0.255
kissat, 003, -018, 127, 0, 0, 0, 0.241, NA, 0, 0, 0, 0, 0.00, 0.241
or-tools, 003, -018, NA, NA, 0, 0, 0.104, 0, NA, NA, 0, 0, 0.014, 0.118
chuffed, 003, -019, NA, NA, 0, 0, 0.183, 0, NA, 0, 0, 0, 0.015, 0.198
kissat, 003, -019, 133, 0, 0, 0, 0.175, NA, 0, 0, 0, 0, 0.00, 0.175
or-tools, 003, -019, NA, NA, 0, 0, 0.102, 0, NA, NA, 0, 0, 0.017, 0.119
chuffed, 003, -020, NA, NA, 0, 0, 0.271, 0, NA, 0, 0, 0, 0.006, 0.277
kissat, 003, -020, 133, 0, 0, 0, 0.218, NA, 0, 0, 0, 0, 0.00, 0.218
or-tools, 003, -020, NA, NA, 0, 0, 0.094, 0, NA, NA, 0, 0, 0.014, 0.108
chuffed, 003, -021, NA, NA, 0, 0, 0.191, 0, NA, 0, 0, 0, 0.006, 0.197
kissat, 003, -021, 133, 0, 0, 0, 0.182, NA, 0, 0, 0, 0, 0.00, 0.182
or-tools, 003, -021, NA, NA, 0, 0, 0.095, 0, NA, NA, 0, 0, 0.016, 0.111
chuffed, 003, -022, NA, NA, 0, 0, 0.18, 0, NA, 0, 0, 0, 0.014, 0.194
kissat, 003, -022, 133, 0, 0, 0, 0.156, NA, 0, 0, 0, 0, 0.00, 0.156
or-tools, 003, -022, NA, NA, 0, 0, 0.1, 0, NA, NA, 0, 0, 0.013, 0.113
chuffed, 003, -023, NA, NA, 0, 0, 0.264, 0, NA, 0, 0, 0, 0.006, 0.27
kissat, 003, -023, 133, 0, 0, 0, 0.16, NA, 0, 0, 0, 0, 0.00, 0.16
or-tools, 003, -023, NA, NA, 0, 0, 0.104, 0, NA, NA, 0, 0, 0.017, 0.121
chuffed, 003, -024, NA, NA, 0, 0, 0.201, 0, NA, 0, 0, 0, 0.01, 0.21100000000000002
kissat, 003, -024, 133, 0, 0, 0, 0.107, NA, 0, 0, 0, 0, 0.00, 0.107
or-tools, 003, -024, NA, NA, 0, 0, 0.096, 0, NA, NA, 0, 0, 0.016, 0.112
chuffed, 003, -025, NA, NA, 0, 0, 0.246, 0, NA, 0, 0, 0, 0.01, 0.256
kissat, 003, -025, 133, 0, 0, 0, 0.095, NA, 0, 0, 0, 0, 0.00, 0.095
or-tools, 003, -025, NA, NA, 0, 0, 0.109, 0, NA, NA, 0, 0, 0.018, 0.127
chuffed, 003, -026, NA, NA, 0, 0, 0.227, 0, NA, 0, 0, 0, 0.009, 0.23600000000000002
kissat, 003, -026, 133, 0, 0, 0, 0.102, NA, 0, 0, 0, 0, 0.00, 0.102
or-tools, 003, -026, NA, NA, 0, 0, 0.102, 0, NA, NA, 0, 0, 0.011, 0.11299999999999999
chuffed, 003, -027, NA, NA, 0, 0, 0.232, 0, NA, 0, 0, 0, 0.009, 0.24100000000000002
kissat, 003, -027, 133, 0, 0, 0, 0.097, NA, 0, 0, 0, 0, 0.00, 0.097
or-tools, 003, -027, NA, NA, 0, 0, 0.099, 0, NA, NA, 0, 0, 0.015, 0.114
chuffed, 003, -028, NA, NA, 0, 0, 0.263, 0, NA, 0, 0, 0, 0.007, 0.27
kissat, 003, -028, 133, 0, 0, 0, 0.124, NA, 0, 0, 0, 0, 0.00, 0.124
or-tools, 003, -028, NA, NA, 0, 0, 0.099, 0, NA, NA, 0, 0, 0.012, 0.111
chuffed, 003, -029, NA, NA, 0, 0, 0.209, 0, NA, 0, 0, 0, 0.013, 0.222
kissat, 003, -029, 133, 0, 0, 0, 0.114, NA, 0, 0, 0, 0, 0.00, 0.114
or-tools, 003, -029, NA, NA, 0, 0, 0.107, 0, NA, NA, 0, 0, 0.012, 0.119
chuffed, 003, -030, NA, NA, 0, 0, 0.219, 0, NA, 0, 0, 0, 0.008, 0.227
kissat, 003, -030, 133, 0, 0, 0, 0.114, NA, 0, 0, 0, 0, 0.00, 0.114
or-tools, 003, -030, NA, NA, 0, 0, 0.106, 0, NA, NA, 0, 0, 0.015, 0.121
chuffed, 003, -031, NA, NA, 0, 0, 0.102, 0, NA, 0, 0, 0, 0.004, 0.106
kissat, 003, -031, 133, 0, 0, 0, 0.135, NA, 0, 0, 0, 0, 0.00, 0.135
or-tools, 003, -031, NA, NA, 0, 0, 0.103, 0, NA, NA, 0, 0, 0.014, 0.11699999999999999
chuffed, 003, -032, NA, NA, 0, 0, 0.309, 0, NA, 0, 0, 0, 0.006, 0.315
kissat, 003, -032, 133, 0, 0, 0, 0.109, NA, 0, 0, 0, 0, 0.00, 0.109
or-tools, 003, -032, NA, NA, 0, 0, 0.105, 0, NA, NA, 0, 0, 0.016, 0.121
chuffed, 003, -033, NA, NA, 0, 0, 0.233, 0, NA, 0, 0, 0, 0.01, 0.24300000000000002
kissat, 003, -033, 133, 0, 0, 0, 0.125, NA, 0, 0, 0, 0, 0.00, 0.125
or-tools, 003, -033, NA, NA, 0, 0, 0.098, 0, NA, NA, 0, 0, 0.014, 0.112
chuffed, 003, -034, NA, NA, 0, 0, 0.089, 0, NA, 0, 0, 0, 0.004, 0.093
kissat, 003, -034, 133, 0, 0, 0, 0.126, NA, 0, 0, 0, 0, 0.00, 0.126
or-tools, 003, -034, NA, NA, 0, 0, 0.101, 0, NA, NA, 0, 0, 0.017, 0.11800000000000001
chuffed, 003, -035, NA, NA, 0, 0, 0.214, 0, NA, 0, 0, 0, 0.007, 0.221
kissat, 003, -035, 133, 0, 0, 0, 0.1, NA, 0, 0, 0, 0, 0.00, 0.1
or-tools, 003, -035, NA, NA, 0, 0, 0.092, 0, NA, NA, 0, 0, 0.018, 0.11
chuffed, 003, -036, NA, NA, 0, 0, 0.246, 0, NA, 0, 0, 0, 0.037, 0.283
kissat, 003, -036, 133, 0, 0, 0, 0.13, NA, 0, 0, 0, 0, 0.00, 0.13
or-tools, 003, -036, NA, NA, 0, 0, 0.094, 0, NA, NA, 0, 0, 0.017, 0.111
chuffed, 003, -037, NA, NA, 0, 0, 0.252, 0, NA, 0, 0, 0, 0.006, 0.258
kissat, 003, -037, 133, 0, 0, 0, 0.108, NA, 0, 0, 0, 0, 0.00, 0.108
or-tools, 003, -037, NA, NA, 0, 0, 0.082, 0, NA, NA, 0, 0, 0.013, 0.095
chuffed, 003, -038, NA, NA, 0, 0, 0.311, 0, NA, 0, 0, 0, 0.014, 0.325
kissat, 003, -038, 133, 0, 0, 0, 0.115, NA, 0, 0, 0, 0, 0.00, 0.115
or-tools, 003, -038, NA, NA, 0, 0, 0.098, 0, NA, NA, 0, 0, 0.012, 0.11
chuffed, 003, -039, NA, NA, 0, 0, 0.299, 0, NA, 0, 0, 0, 0.008, 0.307
kissat, 003, -039, 133, 0, 0, 0, 0.224, NA, 0, 0, 0, 0, 0.00, 0.224
or-tools, 003, -039, NA, NA, 0, 0, 0.096, 0, NA, NA, 0, 0, 0.014, 0.11
chuffed, 003, -040, NA, NA, 0, 0, 0.297, 0, NA, 0, 0, 0, 0.012, 0.309
kissat, 003, -040, 133, 0, 0, 0, 0.224, NA, 0, 0, 0, 0, 0.00, 0.224
or-tools, 003, -040, NA, NA, 0, 0, 0.101, 0, NA, NA, 0, 0, 0.012, 0.113
chuffed, 003, -041, NA, NA, 0, 0, 0.316, 0, NA, 0, 0, 0, 0.006, 0.322
kissat, 003, -041, 133, 0, 0, 0, 0.222, NA, 0, 0, 0, 0, 0.00, 0.222
or-tools, 003, -041, NA, NA, 0, 0, 0.091, 0, NA, NA, 0, 0, 0.016, 0.107
chuffed, 003, -042, NA, NA, 0, 0, 0.328, 0, NA, 0, 0, 0, 0.009, 0.337
kissat, 003, -042, 133, 0, 0, 0, 0.202, NA, 0, 0, 0, 0, 0.00, 0.202
or-tools, 003, -042, NA, NA, 0, 0, 0.095, 0, NA, NA, 0, 0, 0.01, 0.105
chuffed, 003, -043, NA, NA, 0, 0, 0.091, 0, NA, 0, 0, 0, 0.004, 0.095
kissat, 003, -043, 133, 0, 0, 0, 0.211, NA, 0, 0, 0, 0, 0.00, 0.211
or-tools, 003, -043, NA, NA, 0, 0, 0.094, 0, NA, NA, 0, 0, 0.014, 0.108
chuffed, 003, -044, NA, NA, 0, 0, 0.242, 0, NA, 0, 0, 0, 0.011, 0.253
kissat, 003, -044, 133, 0, 0, 0, 0.151, NA, 0, 0, 0, 0, 0.00, 0.151
or-tools, 003, -044, NA, NA, 0, 0, 0.107, 0, NA, NA, 0, 0, 0.013, 0.12
chuffed, 003, -045, NA, NA, 0, 0, 0.315, 0, NA, 0, 0, 0, 0.009, 0.324
kissat, 003, -045, 133, 0, 0, 0, 0.237, NA, 0, 0, 0, 0, 0.00, 0.237
or-tools, 003, -045, NA, NA, 0, 0, 0.1, 0, NA, NA, 0, 0, 0.014, 0.114
chuffed, 003, -046, NA, NA, 0, 0, 0.311, 0, NA, 0, 0, 0, 0.017, 0.328
kissat, 003, -046, 133, 0, 0, 0, 0.272, NA, 0, 0, 0, 0, 0.00, 0.272
or-tools, 003, -046, NA, NA, 0, 0, 0.101, 0, NA, NA, 0, 0, 0.013, 0.114
