solver, length, nbInv, SATClauses, SATVars, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverFailures, SolverMemOut, SolverNodes, SolverSatisfiable, SolverTimeOut, SolverTotalTime, TotalTime
chuffed, 004, -090, NA, NA, 0, 0, 0.273, 0, NA, 0, 0, 0, 0.009, 0.28200000000000003
kissat, 004, -090, 351, 0, 0, 0, 0.138, NA, 0, 0, 0, 0, 0.00, 0.138
or-tools, 004, -090, NA, NA, 0, 0, 0.129, 0, NA, NA, 0, 0, 0.015, 0.14400000000000002
chuffed, 004, -091, NA, NA, 0, 0, 0.341, 0, NA, 0, 0, 0, 0.006, 0.34700000000000003
kissat, 004, -091, 351, 0, 0, 0, 0.163, NA, 0, 0, 0, 0, 0.00, 0.163
or-tools, 004, -091, NA, NA, 0, 0, 0.123, 0, NA, NA, 0, 0, 0.015, 0.138
chuffed, 004, -092, NA, NA, 0, 0, 0.284, 0, NA, 0, 0, 0, 0.007, 0.291
kissat, 004, -092, 351, 0, 0, 0, 0.136, NA, 0, 0, 0, 0, 0.00, 0.136
or-tools, 004, -092, NA, NA, 0, 0, 0.121, 0, NA, NA, 0, 0, 0.015, 0.136
chuffed, 004, -093, NA, NA, 0, 0, 0.281, 0, NA, 0, 0, 0, 0.009, 0.29000000000000004
kissat, 004, -093, 351, 0, 0, 0, 0.184, NA, 0, 0, 0, 0, 0.00, 0.184
or-tools, 004, -093, NA, NA, 0, 0, 0.125, 0, NA, NA, 0, 0, 0.015, 0.14
chuffed, 004, -094, NA, NA, 0, 0, 0.298, 0, NA, 0, 0, 0, 0.009, 0.307
kissat, 004, -094, 351, 0, 0, 0, 0.199, NA, 0, 0, 0, 0, 0.00, 0.199
or-tools, 004, -094, NA, NA, 0, 0, 0.13, 0, NA, NA, 0, 0, 0.015, 0.14500000000000002
chuffed, 004, -095, NA, NA, 0, 0, 0.402, 0, NA, 0, 0, 0, 0.008, 0.41000000000000003
kissat, 004, -095, 351, 0, 0, 0, 0.194, NA, 0, 0, 0, 0, 0.00, 0.194
or-tools, 004, -095, NA, NA, 0, 0, 0.123, 0, NA, NA, 0, 0, 0.015, 0.138
chuffed, 004, -096, NA, NA, 0, 0, 0.362, 0, NA, 0, 0, 0, 0.007, 0.369
kissat, 004, -096, 351, 0, 0, 0, 0.142, NA, 0, 0, 0, 0, 0.00, 0.142
or-tools, 004, -096, NA, NA, 0, 0, 0.127, 0, NA, NA, 0, 0, 0.015, 0.14200000000000002
chuffed, 004, -097, NA, NA, 0, 0, 0.4, 0, NA, 0, 0, 0, 0.007, 0.40700000000000003
kissat, 004, -097, 351, 0, 0, 0, 0.171, NA, 0, 0, 0, 0, 0.00, 0.171
or-tools, 004, -097, NA, NA, 0, 0, 0.127, 0, NA, NA, 0, 0, 0.017, 0.14400000000000002
chuffed, 004, -098, NA, NA, 0, 0, 0.321, 0, NA, 0, 0, 0, 0.008, 0.329
kissat, 004, -098, 351, 0, 0, 0, 0.283, NA, 0, 0, 0, 0, 0.00, 0.283
or-tools, 004, -098, NA, NA, 0, 0, 0.128, 0, NA, NA, 0, 0, 0.018, 0.146
chuffed, 004, -099, NA, NA, 0, 0, 0.278, 0, NA, 0, 0, 0, 0.01, 0.28800000000000003
kissat, 004, -099, 351, 0, 0, 0, 0.293, NA, 0, 0, 0, 0, 0.00, 0.293
or-tools, 004, -099, NA, NA, 0, 0, 0.122, 0, NA, NA, 0, 0, 0.017, 0.139
chuffed, 004, -100, NA, NA, 0, 0, 0.294, 0, NA, 0, 0, 0, 0.008, 0.302
kissat, 004, -100, 351, 0, 0, 0, 0.231, NA, 0, 0, 0, 0, 0.00, 0.231
or-tools, 004, -100, NA, NA, 0, 0, 0.121, 0, NA, NA, 0, 0, 0.02, 0.141
or-tools, 004, 0000, NA, NA, 0, 0, 0.255, 2096, NA, NA, 0, 0, 0.573, 0.828
or-tools, 004, 0001, NA, NA, 0, 0, 0.266, 3924, NA, NA, 0, 0, 0.657, 0.923
or-tools, 004, 0002, NA, NA, 0, 0, 0.256, 4021, NA, NA, 0, 0, 0.669, 0.925
kissat, 004, 0003, 532129, 9002, 0, 0, 2.376, NA, 0, 847543, 1, 0, 80.08, 82.456
or-tools, 004, 0003, NA, NA, 0, 0, 0.271, 431488, NA, NA, 1, 0, 53.082, 53.353
or-tools, 004, 0004, NA, NA, 0, 0, 0.27, 3286, NA, NA, 0, 0, 0.613, 0.883
or-tools, 004, 0005, NA, NA, 0, 0, 0.269, 5546, NA, NA, 0, 0, 0.743, 1.012
or-tools, 004, 0006, NA, NA, 0, 0, 0.246, 4160, NA, NA, 0, 0, 0.617, 0.863
or-tools, 004, 0007, NA, NA, 0, 0, 0.28, 4180, NA, NA, 0, 0, 0.645, 0.925
or-tools, 004, 0008, NA, NA, 0, 0, 0.275, 3240, NA, NA, 0, 0, 0.564, 0.839
or-tools, 004, 0009, NA, NA, 0, 0, 0.259, 710, NA, NA, 0, 0, 0.345, 0.604
or-tools, 004, 0010, NA, NA, 0, 0, 0.246, 553, NA, NA, 0, 0, 0.324, 0.5700000000000001
or-tools, 004, 0011, NA, NA, 0, 0, 0.285, 510, NA, NA, 0, 0, 0.312, 0.597
or-tools, 004, 0012, NA, NA, 0, 0, 0.28, 1026, NA, NA, 0, 0, 0.333, 0.613
or-tools, 004, 0013, NA, NA, 0, 0, 0.268, 595, NA, NA, 0, 0, 0.299, 0.567
chuffed, 004, 0014, NA, NA, 0, 0, 0.637, 14447855, NA, 15968971, 0, 0, 1934.932, 1935.569
kissat, 004, 0014, 456270, 8602, 0, 0, 2.132, NA, 0, 7505887, 0, 0, 1246.28, 1248.412
or-tools, 004, 0014, NA, NA, 0, 0, 0.208, 285, NA, NA, 0, 0, 0.173, 0.381
chuffed, 004, 0015, NA, NA, 0, 0, 0.574, 2939345, NA, 3294359, 0, 0, 428.168, 428.742
kissat, 004, 0015, 448099, 8544, 0, 0, 2.168, NA, 0, 2009686, 0, 0, 325.62, 327.788
or-tools, 004, 0015, NA, NA, 0, 0, 0.167, 354, NA, NA, 0, 0, 0.203, 0.37
chuffed, 004, 0016, NA, NA, 0, 0, 0.633, 1053828, NA, 1185459, 0, 0, 131.900, 132.53300000000002
kissat, 004, 0016, 439849, 8486, 0, 0, 2.524, NA, 0, 323142, 0, 0, 44.25, 46.774
or-tools, 004, 0016, NA, NA, 0, 0, 0.158, 30, NA, NA, 0, 0, 0.179, 0.33699999999999997
chuffed, 004, 0017, NA, NA, 0, 0, 0.808, 303738, NA, 342143, 0, 0, 31.545, 32.353
kissat, 004, 0017, 423712, 8360, 0, 0, 2.187, NA, 0, 168182, 0, 0, 22.43, 24.617
or-tools, 004, 0017, NA, NA, 0, 0, 0.164, 2, NA, NA, 0, 0, 0.156, 0.32
chuffed, 004, 0018, NA, NA, 0, 0, 0.771, 133898, NA, 153511, 0, 0, 17.943, 18.714000000000002
kissat, 004, 0018, 408004, 8243, 0, 0, 1.886, NA, 0, 70517, 0, 0, 11.50, 13.386
or-tools, 004, 0018, NA, NA, 0, 0, 0.175, 1, NA, NA, 0, 0, 0.145, 0.31999999999999995
chuffed, 004, 0019, NA, NA, 0, 0, 0.638, 76337, NA, 85120, 0, 0, 9.692, 10.33
kissat, 004, 0019, 374417, 7925, 0, 0, 2.402, NA, 0, 43000, 0, 0, 6.36, 8.762
or-tools, 004, 0019, NA, NA, 0, 0, 0.199, 1, NA, NA, 0, 0, 0.19, 0.389
chuffed, 004, 0020, NA, NA, 0, 0, 0.786, 16403, NA, 18334, 0, 0, 1.493, 2.279
kissat, 004, 0020, 328801, 7447, 0, 0, 2.001, NA, 0, 14560, 0, 0, 3.12, 5.121
or-tools, 004, 0020, NA, NA, 0, 0, 0.22, 0, NA, NA, 0, 0, 0.255, 0.475
chuffed, 004, 0021, NA, NA, 0, 0, 0.657, 1832, NA, 2128, 0, 0, 0.158, 0.8150000000000001
kissat, 004, 0021, 241495, 6377, 0, 0, 1.688, NA, 0, 4011, 0, 0, 0.41, 2.098
or-tools, 004, 0021, NA, NA, 0, 0, 0.21, 0, NA, NA, 0, 0, 0.247, 0.45699999999999996
chuffed, 004, 0022, NA, NA, 0, 0, 0.777, 346, NA, 376, 0, 0, 0.026, 0.803
kissat, 004, 0022, 105230, 4208, 0, 0, 1.489, NA, 0, 534, 0, 0, 0.07, 1.5590000000000002
or-tools, 004, 0022, NA, NA, 0, 0, 0.249, 1, NA, NA, 0, 0, 0.141, 0.39
chuffed, 004, 0023, NA, NA, 0, 0, 0.709, 0, NA, 0, 0, 0, 0.035, 0.744
kissat, 004, 0023, 39, 0, 0, 0, 0.987, NA, 0, 0, 0, 0, 0.00, 0.987
or-tools, 004, 0023, NA, NA, 0, 0, 0.216, 0, NA, NA, 0, 0, 0.014, 0.23
chuffed, 004, 0024, NA, NA, 0, 0, 0.834, 0, NA, 0, 0, 0, 0.006, 0.84
kissat, 004, 0024, 39, 0, 0, 0, 0.774, NA, 0, 0, 0, 0, 0.00, 0.774
or-tools, 004, 0024, NA, NA, 0, 0, 0.211, 0, NA, NA, 0, 0, 0.015, 0.22599999999999998
chuffed, 004, 0025, NA, NA, 0, 0, 0.724, 0, NA, 0, 0, 0, 0.025, 0.749
kissat, 004, 0025, 39, 0, 0, 0, 0.832, NA, 0, 0, 0, 0, 0.00, 0.832
or-tools, 004, 0025, NA, NA, 0, 0, 0.194, 0, NA, NA, 0, 0, 0.013, 0.20700000000000002
chuffed, 004, 0026, NA, NA, 0, 0, 0.634, 0, NA, 0, 0, 0, 0.034, 0.668
kissat, 004, 0026, 39, 0, 0, 0, 0.999, NA, 0, 0, 0, 0, 0.00, 0.999
or-tools, 004, 0026, NA, NA, 0, 0, 0.214, 0, NA, NA, 0, 0, 0.016, 0.22999999999999998
chuffed, 004, 0027, NA, NA, 0, 0, 0.751, 0, NA, 0, 0, 0, 0.036, 0.787
kissat, 004, 0027, 39, 0, 0, 0, 0.905, NA, 0, 0, 0, 0, 0.00, 0.905
or-tools, 004, 0027, NA, NA, 0, 0, 0.209, 0, NA, NA, 0, 0, 0.016, 0.22499999999999998
chuffed, 004, 0028, NA, NA, 0, 0, 0.507, 0, NA, 0, 0, 0, 0.015, 0.522
kissat, 004, 0028, 39, 0, 0, 0, 0.983, NA, 0, 0, 0, 0, 0.00, 0.983
or-tools, 004, 0028, NA, NA, 0, 0, 0.203, 0, NA, NA, 0, 0, 0.016, 0.21900000000000003
chuffed, 004, 0029, NA, NA, 0, 0, 0.709, 0, NA, 0, 0, 0, 0.03, 0.739
kissat, 004, 0029, 39, 0, 0, 0, 0.793, NA, 0, 0, 0, 0, 0.00, 0.793
or-tools, 004, 0029, NA, NA, 0, 0, 0.214, 0, NA, NA, 0, 0, 0.017, 0.23099999999999998
chuffed, 004, 0030, NA, NA, 0, 0, 0.669, 0, NA, 0, 0, 0, 0.033, 0.7020000000000001
kissat, 004, 0030, 39, 0, 0, 0, 0.82, NA, 0, 0, 0, 0, 0.00, 0.82
or-tools, 004, 0030, NA, NA, 0, 0, 0.207, 0, NA, NA, 0, 0, 0.017, 0.22399999999999998
chuffed, 004, 0031, NA, NA, 0, 0, 0.803, 0, NA, 0, 0, 0, 0.013, 0.8160000000000001
kissat, 004, 0031, 39, 0, 0, 0, 0.717, NA, 0, 0, 0, 0, 0.00, 0.717
or-tools, 004, 0031, NA, NA, 0, 0, 0.213, 0, NA, NA, 0, 0, 0.014, 0.227
chuffed, 004, 0032, NA, NA, 0, 0, 1.022, 0, NA, 0, 0, 0, 0.007, 1.029
kissat, 004, 0032, 39, 0, 0, 0, 0.622, NA, 0, 0, 0, 0, 0.00, 0.622
or-tools, 004, 0032, NA, NA, 0, 0, 0.203, 0, NA, NA, 0, 0, 0.015, 0.21800000000000003
chuffed, 004, 0033, NA, NA, 0, 0, 0.774, 0, NA, 0, 0, 0, 0.006, 0.78
kissat, 004, 0033, 39, 0, 0, 0, 0.846, NA, 0, 0, 0, 0, 0.00, 0.846
or-tools, 004, 0033, NA, NA, 0, 0, 0.222, 0, NA, NA, 0, 0, 0.014, 0.23600000000000002
chuffed, 004, 0034, NA, NA, 0, 0, 0.91, 0, NA, 0, 0, 0, 0.007, 0.917
kissat, 004, 0034, 39, 0, 0, 0, 0.916, NA, 0, 0, 0, 0, 0.00, 0.916
or-tools, 004, 0034, NA, NA, 0, 0, 0.2, 0, NA, NA, 0, 0, 0.014, 0.21400000000000002
chuffed, 004, 0035, NA, NA, 0, 0, 0.575, 0, NA, 0, 0, 0, 0.043, 0.618
kissat, 004, 0035, 39, 0, 0, 0, 0.532, NA, 0, 0, 0, 0, 0.00, 0.532
or-tools, 004, 0035, NA, NA, 0, 0, 0.203, 0, NA, NA, 0, 0, 0.012, 0.21500000000000002
chuffed, 004, 0036, NA, NA, 0, 0, 0.89, 0, NA, 0, 0, 0, 0.006, 0.896
kissat, 004, 0036, 39, 0, 0, 0, 0.692, NA, 0, 0, 0, 0, 0.00, 0.692
or-tools, 004, 0036, NA, NA, 0, 0, 0.193, 0, NA, NA, 0, 0, 0.013, 0.20600000000000002
chuffed, 004, 0037, NA, NA, 0, 0, 0.878, 0, NA, 0, 0, 0, 0.006, 0.884
kissat, 004, 0037, 39, 0, 0, 0, 1.199, NA, 0, 0, 0, 0, 0.00, 1.199
or-tools, 004, 0037, NA, NA, 0, 0, 0.208, 0, NA, NA, 0, 0, 0.015, 0.22299999999999998
chuffed, 004, 0038, NA, NA, 0, 0, 0.673, 0, NA, 0, 0, 0, 0.008, 0.681
kissat, 004, 0038, 39, 0, 0, 0, 0.77, NA, 0, 0, 0, 0, 0.00, 0.77
or-tools, 004, 0038, NA, NA, 0, 0, 0.193, 0, NA, NA, 0, 0, 0.013, 0.20600000000000002
chuffed, 004, 0039, NA, NA, 0, 0, 0.496, 0, NA, 0, 0, 0, 0.006, 0.502
kissat, 004, 0039, 39, 0, 0, 0, 0.917, NA, 0, 0, 0, 0, 0.00, 0.917
or-tools, 004, 0039, NA, NA, 0, 0, 0.181, 0, NA, NA, 0, 0, 0.014, 0.195
chuffed, 004, 0040, NA, NA, 0, 0, 0.903, 0, NA, 0, 0, 0, 0.007, 0.91
kissat, 004, 0040, 39, 0, 0, 0, 1.132, NA, 0, 0, 0, 0, 0.00, 1.132
or-tools, 004, 0040, NA, NA, 0, 0, 0.184, 0, NA, NA, 0, 0, 0.012, 0.196
chuffed, 004, 0041, NA, NA, 0, 0, 0.66, 0, NA, 0, 0, 0, 0.007, 0.667
kissat, 004, 0041, 39, 0, 0, 0, 1.037, NA, 0, 0, 0, 0, 0.00, 1.037
or-tools, 004, 0041, NA, NA, 0, 0, 0.18, 0, NA, NA, 0, 0, 0.012, 0.192
chuffed, 004, 0042, NA, NA, 0, 0, 0.903, 0, NA, 0, 0, 0, 0.006, 0.909
kissat, 004, 0042, 39, 0, 0, 0, 0.834, NA, 0, 0, 0, 0, 0.00, 0.834
or-tools, 004, 0042, NA, NA, 0, 0, 0.176, 0, NA, NA, 0, 0, 0.011, 0.187
chuffed, 004, 0043, NA, NA, 0, 0, 0.653, 0, NA, 0, 0, 0, 0.007, 0.66
kissat, 004, 0043, 39, 0, 0, 0, 0.725, NA, 0, 0, 0, 0, 0.00, 0.725
or-tools, 004, 0043, NA, NA, 0, 0, 0.15, 0, NA, NA, 0, 0, 0.009, 0.159
chuffed, 004, 0044, NA, NA, 0, 0, 0.833, 0, NA, 0, 0, 0, 0.006, 0.839
kissat, 004, 0044, 39, 0, 0, 0, 0.712, NA, 0, 0, 0, 0, 0.00, 0.712
or-tools, 004, 0044, NA, NA, 0, 0, 0.167, 0, NA, NA, 0, 0, 0.015, 0.182
chuffed, 004, 0045, NA, NA, 0, 0, 0.591, 0, NA, 0, 0, 0, 0.005, 0.596
kissat, 004, 0045, 39, 0, 0, 0, 0.804, NA, 0, 0, 0, 0, 0.00, 0.804
or-tools, 004, 0045, NA, NA, 0, 0, 0.146, 0, NA, NA, 0, 0, 0.01, 0.156
chuffed, 004, 0046, NA, NA, 0, 0, 0.693, 0, NA, 0, 0, 0, 0.007, 0.7
kissat, 004, 0046, 43, 6, 0, 0, 0.708, NA, 0, 0, 0, 0, 0.00, 0.708
