solver, length, nbInv, SATClauses, SATVars, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverFailures, SolverMemOut, SolverNodes, SolverSatisfiable, SolverTimeOut, SolverTotalTime, TotalTime
or-tools, 003, -017, NA, NA, 0, 0, 0.086, 0, NA, NA, 0, 0, 0.01, 0.09599999999999999
chuffed, 003, -018, NA, NA, 0, 0, 0.245, 0, NA, 0, 0, 0, 0.011, 0.256
kissat, 003, -018, 127, 0, 0, 0, 0.084, NA, 0, 0, 0, 0, 0.00, 0.084
or-tools, 003, -018, NA, NA, 0, 0, 0.081, 0, NA, NA, 0, 0, 0.014, 0.095
chuffed, 003, -019, NA, NA, 0, 0, 0.258, 0, NA, 0, 0, 0, 0.01, 0.268
kissat, 003, -019, 133, 0, 0, 0, 0.082, NA, 0, 0, 0, 0, 0.00, 0.082
or-tools, 003, -019, NA, NA, 0, 0, 0.075, 0, NA, NA, 0, 0, 0.009, 0.08399999999999999
chuffed, 003, -020, NA, NA, 0, 0, 0.235, 0, NA, 0, 0, 0, 0.009, 0.244
kissat, 003, -020, 133, 0, 0, 0, 0.083, NA, 0, 0, 0, 0, 0.00, 0.083
or-tools, 003, -020, NA, NA, 0, 0, 0.081, 0, NA, NA, 0, 0, 0.015, 0.096
chuffed, 003, -021, NA, NA, 0, 0, 0.278, 0, NA, 0, 0, 0, 0.011, 0.28900000000000003
kissat, 003, -021, 133, 0, 0, 0, 0.087, NA, 0, 0, 0, 0, 0.00, 0.087
or-tools, 003, -021, NA, NA, 0, 0, 0.092, 0, NA, NA, 0, 0, 0.013, 0.105
chuffed, 003, -022, NA, NA, 0, 0, 0.244, 0, NA, 0, 0, 0, 0.009, 0.253
kissat, 003, -022, 133, 0, 0, 0, 0.088, NA, 0, 0, 0, 0, 0.00, 0.088
or-tools, 003, -022, NA, NA, 0, 0, 0.092, 0, NA, NA, 0, 0, 0.012, 0.104
chuffed, 003, -023, NA, NA, 0, 0, 0.274, 0, NA, 0, 0, 0, 0.008, 0.28200000000000003
kissat, 003, -023, 133, 0, 0, 0, 0.082, NA, 0, 0, 0, 0, 0.00, 0.082
or-tools, 003, -023, NA, NA, 0, 0, 0.088, 0, NA, NA, 0, 0, 0.013, 0.10099999999999999
chuffed, 003, -024, NA, NA, 0, 0, 0.243, 0, NA, 0, 0, 0, 0.011, 0.254
kissat, 003, -024, 133, 0, 0, 0, 0.092, NA, 0, 0, 0, 0, 0.00, 0.092
or-tools, 003, -024, NA, NA, 0, 0, 0.077, 0, NA, NA, 0, 0, 0.012, 0.089
chuffed, 003, -025, NA, NA, 0, 0, 0.25, 0, NA, 0, 0, 0, 0.011, 0.261
kissat, 003, -025, 133, 0, 0, 0, 0.094, NA, 0, 0, 0, 0, 0.00, 0.094
or-tools, 003, -025, NA, NA, 0, 0, 0.085, 0, NA, NA, 0, 0, 0.011, 0.096
chuffed, 003, -026, NA, NA, 0, 0, 0.263, 0, NA, 0, 0, 0, 0.01, 0.273
kissat, 003, -026, 133, 0, 0, 0, 0.084, NA, 0, 0, 0, 0, 0.00, 0.084
or-tools, 003, -026, NA, NA, 0, 0, 0.084, 0, NA, NA, 0, 0, 0.009, 0.093
chuffed, 003, -027, NA, NA, 0, 0, 0.231, 0, NA, 0, 0, 0, 0.011, 0.24200000000000002
kissat, 003, -027, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -027, NA, NA, 0, 0, 0.091, 0, NA, NA, 0, 0, 0.011, 0.102
chuffed, 003, -028, NA, NA, 0, 0, 0.226, 0, NA, 0, 0, 0, 0.008, 0.234
kissat, 003, -028, 133, 0, 0, 0, 0.085, NA, 0, 0, 0, 0, 0.00, 0.085
or-tools, 003, -028, NA, NA, 0, 0, 0.077, 0, NA, NA, 0, 0, 0.011, 0.088
chuffed, 003, -029, NA, NA, 0, 0, 0.2, 0, NA, 0, 0, 0, 0.007, 0.20700000000000002
kissat, 003, -029, 133, 0, 0, 0, 0.087, NA, 0, 0, 0, 0, 0.00, 0.087
or-tools, 003, -029, NA, NA, 0, 0, 0.079, 0, NA, NA, 0, 0, 0.009, 0.088
chuffed, 003, -030, NA, NA, 0, 0, 0.253, 0, NA, 0, 0, 0, 0.012, 0.265
kissat, 003, -030, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -030, NA, NA, 0, 0, 0.09, 0, NA, NA, 0, 0, 0.013, 0.103
chuffed, 003, -031, NA, NA, 0, 0, 0.266, 0, NA, 0, 0, 0, 0.008, 0.274
kissat, 003, -031, 133, 0, 0, 0, 0.087, NA, 0, 0, 0, 0, 0.00, 0.087
or-tools, 003, -031, NA, NA, 0, 0, 0.095, 0, NA, NA, 0, 0, 0.012, 0.107
chuffed, 003, -032, NA, NA, 0, 0, 0.239, 0, NA, 0, 0, 0, 0.011, 0.25
kissat, 003, -032, 133, 0, 0, 0, 0.095, NA, 0, 0, 0, 0, 0.00, 0.095
or-tools, 003, -032, NA, NA, 0, 0, 0.078, 0, NA, NA, 0, 0, 0.013, 0.091
chuffed, 003, -033, NA, NA, 0, 0, 0.246, 0, NA, 0, 0, 0, 0.011, 0.257
kissat, 003, -033, 133, 0, 0, 0, 0.083, NA, 0, 0, 0, 0, 0.00, 0.083
or-tools, 003, -033, NA, NA, 0, 0, 0.096, 0, NA, NA, 0, 0, 0.012, 0.108
chuffed, 003, -034, NA, NA, 0, 0, 0.218, 0, NA, 0, 0, 0, 0.009, 0.227
kissat, 003, -034, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -034, NA, NA, 0, 0, 0.092, 0, NA, NA, 0, 0, 0.009, 0.10099999999999999
chuffed, 003, -035, NA, NA, 0, 0, 0.262, 0, NA, 0, 0, 0, 0.009, 0.271
kissat, 003, -035, 133, 0, 0, 0, 0.087, NA, 0, 0, 0, 0, 0.00, 0.087
or-tools, 003, -035, NA, NA, 0, 0, 0.084, 0, NA, NA, 0, 0, 0.013, 0.097
chuffed, 003, -036, NA, NA, 0, 0, 0.251, 0, NA, 0, 0, 0, 0.011, 0.262
kissat, 003, -036, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -036, NA, NA, 0, 0, 0.082, 0, NA, NA, 0, 0, 0.011, 0.093
chuffed, 003, -037, NA, NA, 0, 0, 0.21, 0, NA, 0, 0, 0, 0.01, 0.22
kissat, 003, -037, 133, 0, 0, 0, 0.08, NA, 0, 0, 0, 0, 0.00, 0.08
or-tools, 003, -037, NA, NA, 0, 0, 0.083, 0, NA, NA, 0, 0, 0.013, 0.096
chuffed, 003, -038, NA, NA, 0, 0, 0.248, 0, NA, 0, 0, 0, 0.013, 0.261
kissat, 003, -038, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -038, NA, NA, 0, 0, 0.085, 0, NA, NA, 0, 0, 0.013, 0.098
chuffed, 003, -039, NA, NA, 0, 0, 0.259, 0, NA, 0, 0, 0, 0.008, 0.267
kissat, 003, -039, 133, 0, 0, 0, 0.088, NA, 0, 0, 0, 0, 0.00, 0.088
or-tools, 003, -039, NA, NA, 0, 0, 0.078, 0, NA, NA, 0, 0, 0.013, 0.091
chuffed, 003, -040, NA, NA, 0, 0, 0.27, 0, NA, 0, 0, 0, 0.013, 0.28300000000000003
kissat, 003, -040, 133, 0, 0, 0, 0.1, NA, 0, 0, 0, 0, 0.00, 0.1
or-tools, 003, -040, NA, NA, 0, 0, 0.082, 0, NA, NA, 0, 0, 0.013, 0.095
chuffed, 003, -041, NA, NA, 0, 0, 0.254, 0, NA, 0, 0, 0, 0.009, 0.263
kissat, 003, -041, 133, 0, 0, 0, 0.09, NA, 0, 0, 0, 0, 0.00, 0.09
or-tools, 003, -041, NA, NA, 0, 0, 0.075, 0, NA, NA, 0, 0, 0.014, 0.089
chuffed, 003, -042, NA, NA, 0, 0, 0.208, 0, NA, 0, 0, 0, 0.008, 0.216
kissat, 003, -042, 133, 0, 0, 0, 0.091, NA, 0, 0, 0, 0, 0.00, 0.091
or-tools, 003, -042, NA, NA, 0, 0, 0.084, 0, NA, NA, 0, 0, 0.018, 0.10200000000000001
chuffed, 003, -043, NA, NA, 0, 0, 0.201, 0, NA, 0, 0, 0, 0.01, 0.21100000000000002
kissat, 003, -043, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -043, NA, NA, 0, 0, 0.082, 0, NA, NA, 0, 0, 0.014, 0.096
chuffed, 003, -044, NA, NA, 0, 0, 0.199, 0, NA, 0, 0, 0, 0.008, 0.20700000000000002
kissat, 003, -044, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -044, NA, NA, 0, 0, 0.081, 0, NA, NA, 0, 0, 0.013, 0.094
chuffed, 003, -045, NA, NA, 0, 0, 0.285, 0, NA, 0, 0, 0, 0.009, 0.294
kissat, 003, -045, 133, 0, 0, 0, 0.087, NA, 0, 0, 0, 0, 0.00, 0.087
or-tools, 003, -045, NA, NA, 0, 0, 0.083, 0, NA, NA, 0, 0, 0.017, 0.1
chuffed, 003, -046, NA, NA, 0, 0, 0.266, 0, NA, 0, 0, 0, 0.014, 0.28
kissat, 003, -046, 133, 0, 0, 0, 0.089, NA, 0, 0, 0, 0, 0.00, 0.089
or-tools, 003, -046, NA, NA, 0, 0, 0.077, 0, NA, NA, 0, 0, 0.014, 0.091
chuffed, 003, -047, NA, NA, 0, 0, 0.239, 0, NA, 0, 0, 0, 0.012, 0.251
