solver, length, nbInv, SATClauses, SATVars, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverFailures, SolverMemOut, SolverNodes, SolverSatisfiable, SolverTimeOut, SolverTotalTime, TotalTime
chuffed, 003, -001, NA, NA, 0, 0, 0.152, 0, NA, 0, 0, 0, 0.006, 0.158
kissat, 003, -001, 133, 0, 0, 0, 0.093, NA, 0, 0, 0, 0, 0.00, 0.093
or-tools, 003, -001, NA, NA, 0, 0, 0.075, 0, NA, NA, 0, 0, 0.012, 0.087
chuffed, 003, -002, NA, NA, 0, 0, 0.158, 0, NA, 0, 0, 0, 0.007, 0.165
kissat, 003, -002, 133, 0, 0, 0, 0.102, NA, 0, 0, 0, 0, 0.00, 0.102
or-tools, 003, -002, NA, NA, 0, 0, 0.075, 0, NA, NA, 0, 0, 0.012, 0.087
chuffed, 003, -003, NA, NA, 0, 0, 0.158, 0, NA, 0, 0, 0, 0.006, 0.164
kissat, 003, -003, 133, 0, 0, 0, 0.1, NA, 0, 0, 0, 0, 0.00, 0.1
or-tools, 003, -003, NA, NA, 0, 0, 0.076, 0, NA, NA, 0, 0, 0.012, 0.088
chuffed, 003, -004, NA, NA, 0, 0, 0.226, 814, NA, 860, 1, 0, 0.029, 0.255
kissat, 003, -004, 16087, 1029, 0, 0, 0.207, NA, 0, 2356, 1, 0, 0.04, 0.247
or-tools, 003, -004, NA, NA, 0, 0, 0.12, 35, NA, NA, 1, 0, 0.051, 0.17099999999999999
chuffed, 003, -005, NA, NA, 0, 0, 0.153, 0, NA, 0, 0, 0, 0.006, 0.159
kissat, 003, -005, 133, 0, 0, 0, 0.092, NA, 0, 0, 0, 0, 0.00, 0.092
or-tools, 003, -005, NA, NA, 0, 0, 0.073, 0, NA, NA, 0, 0, 0.012, 0.08499999999999999
chuffed, 003, -006, NA, NA, 0, 0, 0.158, 0, NA, 0, 0, 0, 0.006, 0.164
kissat, 003, -006, 133, 0, 0, 0, 0.107, NA, 0, 0, 0, 0, 0.00, 0.107
or-tools, 003, -006, NA, NA, 0, 0, 0.079, 0, NA, NA, 0, 0, 0.013, 0.092
chuffed, 003, -007, NA, NA, 0, 0, 0.154, 0, NA, 0, 0, 0, 0.006, 0.16
kissat, 003, -007, 133, 0, 0, 0, 0.099, NA, 0, 0, 0, 0, 0.00, 0.099
or-tools, 003, -007, NA, NA, 0, 0, 0.075, 0, NA, NA, 0, 0, 0.013, 0.088
chuffed, 003, -008, NA, NA, 0, 0, 0.173, 0, NA, 0, 0, 0, 0.006, 0.179
kissat, 003, -008, 133, 0, 0, 0, 0.096, NA, 0, 0, 0, 0, 0.00, 0.096
or-tools, 003, -008, NA, NA, 0, 0, 0.072, 0, NA, NA, 0, 0, 0.011, 0.08299999999999999
chuffed, 003, -009, NA, NA, 0, 0, 0.227, 0, NA, 0, 0, 0, 0.006, 0.233
kissat, 003, -009, 20, 0, 0, 0, 0.13, NA, 0, 0, 0, 0, 0.00, 0.13
or-tools, 003, -009, NA, NA, 0, 0, 0.104, 0, NA, NA, 0, 0, 0.012, 0.11599999999999999
chuffed, 003, -010, NA, NA, 0, 0, 0.151, 0, NA, 0, 0, 0, 0.007, 0.158
kissat, 003, -010, 133, 0, 0, 0, 0.094, NA, 0, 0, 0, 0, 0.00, 0.094
or-tools, 003, -010, NA, NA, 0, 0, 0.072, 0, NA, NA, 0, 0, 0.013, 0.08499999999999999
chuffed, 003, -011, NA, NA, 0, 0, 0.14, 0, NA, 0, 0, 0, 0.005, 0.14500000000000002
kissat, 003, -011, 133, 0, 0, 0, 0.092, NA, 0, 0, 0, 0, 0.00, 0.092
or-tools, 003, -011, NA, NA, 0, 0, 0.074, 0, NA, NA, 0, 0, 0.012, 0.086
chuffed, 003, -012, NA, NA, 0, 0, 0.149, 0, NA, 0, 0, 0, 0.006, 0.155
kissat, 003, -012, 133, 0, 0, 0, 0.098, NA, 0, 0, 0, 0, 0.00, 0.098
or-tools, 003, -012, NA, NA, 0, 0, 0.076, 0, NA, NA, 0, 0, 0.014, 0.09
chuffed, 003, -013, NA, NA, 0, 0, 0.153, 0, NA, 0, 0, 0, 0.007, 0.16
kissat, 003, -013, 133, 0, 0, 0, 0.091, NA, 0, 0, 0, 0, 0.00, 0.091
or-tools, 003, -013, NA, NA, 0, 0, 0.072, 0, NA, NA, 0, 0, 0.012, 0.08399999999999999
chuffed, 003, -014, NA, NA, 0, 0, 0.159, 0, NA, 0, 0, 0, 0.005, 0.164
kissat, 003, -014, 133, 0, 0, 0, 0.099, NA, 0, 0, 0, 0, 0.00, 0.099
or-tools, 003, -014, NA, NA, 0, 0, 0.077, 0, NA, NA, 0, 0, 0.013, 0.09
chuffed, 003, -015, NA, NA, 0, 0, 0.135, 0, NA, 0, 0, 0, 0.007, 0.14200000000000002
kissat, 003, -015, 133, 0, 0, 0, 0.096, NA, 0, 0, 0, 0, 0.00, 0.096
or-tools, 003, -015, NA, NA, 0, 0, 0.067, 0, NA, NA, 0, 0, 0.012, 0.079
chuffed, 003, -016, NA, NA, 0, 0, 0.127, 0, NA, 0, 0, 0, 0.007, 0.134
kissat, 003, -016, 133, 0, 0, 0, 0.096, NA, 0, 0, 0, 0, 0.00, 0.096
or-tools, 003, -016, NA, NA, 0, 0, 0.073, 0, NA, NA, 0, 0, 0.012, 0.08499999999999999
chuffed, 003, -017, NA, NA, 0, 0, 0.162, 0, NA, 0, 0, 0, 0.007, 0.169
kissat, 003, -017, 133, 0, 0, 0, 0.091, NA, 0, 0, 0, 0, 0.00, 0.091
or-tools, 003, -017, NA, NA, 0, 0, 0.081, 0, NA, NA, 0, 0, 0.013, 0.094
chuffed, 003, -018, NA, NA, 0, 0, 0.157, 0, NA, 0, 0, 0, 0.006, 0.163
kissat, 003, -018, 127, 0, 0, 0, 0.095, NA, 0, 0, 0, 0, 0.00, 0.095
or-tools, 003, -018, NA, NA, 0, 0, 0.075, 0, NA, NA, 0, 0, 0.013, 0.088
chuffed, 003, -019, NA, NA, 0, 0, 0.121, 0, NA, 0, 0, 0, 0.004, 0.125
kissat, 003, -019, 133, 0, 0, 0, 0.092, NA, 0, 0, 0, 0, 0.00, 0.092
or-tools, 003, -019, NA, NA, 0, 0, 0.082, 0, NA, NA, 0, 0, 0.012, 0.094
chuffed, 003, -020, NA, NA, 0, 0, 0.151, 0, NA, 0, 0, 0, 0.006, 0.157
kissat, 003, -020, 133, 0, 0, 0, 0.092, NA, 0, 0, 0, 0, 0.00, 0.092
or-tools, 003, -020, NA, NA, 0, 0, 0.078, 0, NA, NA, 0, 0, 0.014, 0.092
chuffed, 003, -021, NA, NA, 0, 0, 0.153, 0, NA, 0, 0, 0, 0.006, 0.159
kissat, 003, -021, 133, 0, 0, 0, 0.093, NA, 0, 0, 0, 0, 0.00, 0.093
or-tools, 003, -021, NA, NA, 0, 0, 0.072, 0, NA, NA, 0, 0, 0.012, 0.08399999999999999
chuffed, 003, -022, NA, NA, 0, 0, 0.146, 0, NA, 0, 0, 0, 0.007, 0.153
kissat, 003, -022, 133, 0, 0, 0, 0.098, NA, 0, 0, 0, 0, 0.00, 0.098
or-tools, 003, -022, NA, NA, 0, 0, 0.075, 0, NA, NA, 0, 0, 0.012, 0.087
