solver, length, nbInv, SATClauses, SATVars, SavileRowClauseOut, SavileRowTimeOut, SavileRowTotalTime, SolverFailures, SolverMemOut, SolverNodes, SolverSatisfiable, SolverTimeOut, SolverTotalTime, TotalTime
kissat, 003, -017, 133, 0, 0, 0, 0.082, NA, 0, 0, 0, 0, 0.00, 0.082
or-tools, 003, -017, NA, NA, 0, 0, 0.096, 0, NA, NA, 0, 0, 0.015, 0.111
chuffed, 003, -018, NA, NA, 0, 0, 0.089, 0, NA, 0, 0, 0, 0.004, 0.093
kissat, 003, -018, 127, 0, 0, 0, 0.085, NA, 0, 0, 0, 0, 0.00, 0.085
or-tools, 003, -018, NA, NA, 0, 0, 0.09, 0, NA, NA, 0, 0, 0.017, 0.107
chuffed, 003, -019, NA, NA, 0, 0, 0.092, 0, NA, 0, 0, 0, 0.003, 0.095
kissat, 003, -019, 133, 0, 0, 0, 0.084, NA, 0, 0, 0, 0, 0.00, 0.084
or-tools, 003, -019, NA, NA, 0, 0, 0.093, 0, NA, NA, 0, 0, 0.015, 0.108
chuffed, 003, -020, NA, NA, 0, 0, 0.074, 0, NA, 0, 0, 0, 0.003, 0.077
kissat, 003, -020, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -020, NA, NA, 0, 0, 0.098, 0, NA, NA, 0, 0, 0.013, 0.111
chuffed, 003, -021, NA, NA, 0, 0, 0.068, 0, NA, 0, 0, 0, 0.004, 0.07200000000000001
kissat, 003, -021, 133, 0, 0, 0, 0.092, NA, 0, 0, 0, 0, 0.00, 0.092
or-tools, 003, -021, NA, NA, 0, 0, 0.095, 0, NA, NA, 0, 0, 0.014, 0.109
chuffed, 003, -022, NA, NA, 0, 0, 0.076, 0, NA, 0, 0, 0, 0.003, 0.079
kissat, 003, -022, 133, 0, 0, 0, 0.087, NA, 0, 0, 0, 0, 0.00, 0.087
or-tools, 003, -022, NA, NA, 0, 0, 0.097, 0, NA, NA, 0, 0, 0.01, 0.107
chuffed, 003, -023, NA, NA, 0, 0, 0.076, 0, NA, 0, 0, 0, 0.004, 0.08
kissat, 003, -023, 133, 0, 0, 0, 0.084, NA, 0, 0, 0, 0, 0.00, 0.084
or-tools, 003, -023, NA, NA, 0, 0, 0.093, 0, NA, NA, 0, 0, 0.011, 0.104
chuffed, 003, -024, NA, NA, 0, 0, 0.079, 0, NA, 0, 0, 0, 0.003, 0.082
kissat, 003, -024, 133, 0, 0, 0, 0.079, NA, 0, 0, 0, 0, 0.00, 0.079
or-tools, 003, -024, NA, NA, 0, 0, 0.105, 0, NA, NA, 0, 0, 0.014, 0.119
chuffed, 003, -025, NA, NA, 0, 0, 0.075, 0, NA, 0, 0, 0, 0.004, 0.079
kissat, 003, -025, 133, 0, 0, 0, 0.082, NA, 0, 0, 0, 0, 0.00, 0.082
or-tools, 003, -025, NA, NA, 0, 0, 0.105, 0, NA, NA, 0, 0, 0.018, 0.123
chuffed, 003, -026, NA, NA, 0, 0, 0.073, 0, NA, 0, 0, 0, 0.003, 0.076
kissat, 003, -026, 133, 0, 0, 0, 0.081, NA, 0, 0, 0, 0, 0.00, 0.081
or-tools, 003, -026, NA, NA, 0, 0, 0.094, 0, NA, NA, 0, 0, 0.015, 0.109
chuffed, 003, -027, NA, NA, 0, 0, 0.078, 0, NA, 0, 0, 0, 0.003, 0.081
kissat, 003, -027, 133, 0, 0, 0, 0.086, NA, 0, 0, 0, 0, 0.00, 0.086
or-tools, 003, -027, NA, NA, 0, 0, 0.093, 0, NA, NA, 0, 0, 0.014, 0.107
chuffed, 003, -028, NA, NA, 0, 0, 0.076, 0, NA, 0, 0, 0, 0.003, 0.079
kissat, 003, -028, 133, 0, 0, 0, 0.083, NA, 0, 0, 0, 0, 0.00, 0.083
or-tools, 003, -028, NA, NA, 0, 0, 0.106, 0, NA, NA, 0, 0, 0.016, 0.122
chuffed, 003, -029, NA, NA, 0, 0, 0.076, 0, NA, 0, 0, 0, 0.004, 0.08
